Crop,Variety,Region,Season,Soil_Type,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield
Maize,Dent,Madhya Pradesh,Zaid,Peaty,147.3047161,31.62185843,45.35490799,31.99369596,97.42447655,7.724092351,399.4046025,6023.07
Tomato,Roma,Tamil Nadu,Rabi,Clay,33.06816451,14.37027643,26.59182085,41.51252433,74.63635779,6.616894188,376.2437089,29328.04
Potato,Russet,West Bengal,Zaid,Clay,131.4819067,13.30434729,29.34446792,32.48803336,57.73699429,5.960560002,223.8801716,26392.71
Wheat,Soft Red,Madhya Pradesh,Rabi,Loamy,19.4984811,68.83578941,25.20796778,40.94069036,41.90556055,7.540587953,282.8473265,4640.88
Rice,Basmati,Tamil Nadu,Zaid,Silt,44.58361743,74.75799783,39.33064366,35.53991032,45.47157749,6.604554018,198.9809501,4944.49
Maize,Dent,Karnataka,Kharif,Peaty,98.45534326,16.76409419,77.33936617,35.62299964,99.64644697,5.216856542,281.0249686,7326.86
Rice,Jasmine,Andhra Pradesh,Kharif,Saline,55.6933475,68.56243631,26.10959524,22.07755413,41.30012523,5.822878282,149.8240252,3793.08
Tomato,Roma,Karnataka,Kharif,Sandy,47.43463701,78.77669233,46.95975657,16.64527094,52.60788435,6.411790714,323.2122749,36604.52
Tomato,Roma,Madhya Pradesh,Kharif,Silt,108.4825051,18.63573901,97.59391024,15.32352075,70.38773585,6.952463628,134.2842382,36963.65
Tomato,Roma,Tamil Nadu,Rabi,Clay,28.66416454,30.29451881,51.04670446,34.09037978,34.60395394,8.213314498,123.512476,25668.05
Maize,Flint,Karnataka,Kharif,Peaty,83.62867427,41.55579623,66.41336979,12.74221016,79.86543474,6.01697128,149.9645577,6337.8
Sugarcane,Co 99004,Uttar Pradesh,Kharif,Clay,70.72668405,75.67219253,36.6429424,44.95747176,53.48662744,5.718630778,208.5951059,100402.73
Tomato,Cherry,Maharashtra,Kharif,Silt,29.48725595,18.52128675,77.89910244,35.05483739,65.56687614,5.860076389,334.3069765,33203.93
Maize,Flint,Rajasthan,Rabi,Sandy,18.90463039,9.157514282,84.27871747,29.69927657,62.9870769,5.469869187,124.4688335,4096.46
Wheat,Hard Red,Haryana,Rabi,Sandy,137.9244064,33.50344626,87.90129409,30.69662951,36.30213097,6.847547583,212.0102031,5881.67
Rice,Arborio,Andhra Pradesh,Kharif,Silt,108.4179285,55.03244068,93.47545928,13.14025136,70.03506038,8.070739596,379.0576898,8004.66
Rice,Basmati,Andhra Pradesh,Kharif,Sandy,138.6172851,43.6155111,92.82165103,31.27638457,81.80586843,5.085082794,328.3183668,5723.33
Tomato,Cherry,Maharashtra,Zaid,Silt,77.39256767,89.65402249,22.31340482,42.51158735,58.35424924,7.908738291,65.63598599,24703.02
Wheat,Hard Red,Madhya Pradesh,Rabi,Peaty,20.74478016,82.71649633,68.03468907,12.39206088,67.45767211,8.291504748,316.299112,4959.91
Potato,Russet,Madhya Pradesh,Rabi,Sandy,123.126945,35.34369024,84.60221581,32.08553372,93.36504511,5.584522371,130.3715018,24198.54
Sugarcane,Co 99004,Uttar Pradesh,Rabi,Saline,126.1110816,17.77575633,81.96751294,30.60958322,36.35196342,8.367905589,238.6542105,71197.93
Tomato,Roma,Maharashtra,Zaid,Silt,46.02174031,46.69555047,63.25689391,37.07284689,73.17082963,4.727681129,78.41118245,26239.77
Sugarcane,Co 86032,Andhra Pradesh,Rabi,Peaty,12.5535991,40.1235399,69.19123719,42.72475997,77.44001304,6.298496883,260.2036952,71023.99
Maize,Flint,Rajasthan,Zaid,Loamy,109.513616,17.14187513,28.51134039,20.06219486,94.85163295,5.109067827,244.8041854,5890.25
Potato,Red,Haryana,Rabi,Sandy,43.12964963,65.88980943,43.38077967,10.64887345,84.17848156,6.753755191,196.8364292,23205.55
Sugarcane,Co 99004,Uttar Pradesh,Kharif,Saline,91.43030761,55.79473764,85.62736205,16.43751019,65.70646796,5.738542396,275.9933278,90282.91
Sugarcane,Co 99004,Maharashtra,Rabi,Sandy,93.70568692,35.49131471,29.65216545,14.32833047,33.14705188,7.845230381,347.1270974,81309.21
Maize,Dent,Uttar Pradesh,Zaid,Silt,130.8275106,13.27243266,61.08820268,35.13401341,49.49390119,7.72943677,59.4156559,6406.92
Sugarcane,Co 0238,Uttar Pradesh,Kharif,Saline,23.83011293,60.0639156,69.01816653,26.24865894,58.99149554,6.969871941,239.3853884,73677.35
Wheat,Durum,Madhya Pradesh,Rabi,Sandy,120.6921333,14.25539418,98.46778485,38.50654003,57.30596471,8.068196688,59.97538295,3607.42
Sugarcane,Co 99004,Maharashtra,Rabi,Sandy,132.3467138,89.68942523,36.82995922,38.25427666,41.7819105,6.98187462,280.9882317,91322.37
Sugarcane,Co 0238,Maharashtra,Kharif,Loamy,76.87336661,27.58372321,40.85252822,10.8754456,33.92488661,5.844841671,239.416251,93568.69
Potato,Yukon Gold,Uttar Pradesh,Rabi,Loamy,127.1841789,72.42971425,67.49423277,37.84028489,92.09882372,6.981314814,268.3150046,40392.77
Wheat,Hard Red,Haryana,Rabi,Sandy,18.87163621,31.16725627,84.25230097,14.29173787,80.19435186,8.050273529,281.8762324,4638.15
Wheat,Hard Red,Rajasthan,Rabi,Loamy,32.86102093,14.93878138,70.52618988,37.57619568,80.78805172,4.735301698,204.8574092,4484.87
Wheat,Soft Red,Haryana,Rabi,Saline,21.64100564,49.70029932,48.94015972,21.35395466,92.04688429,4.630371172,221.3480928,3517.36
Rice,Basmati,Andhra Pradesh,Zaid,Sandy,10.68678331,71.78650909,65.62794307,15.31479288,67.0384086,8.142784707,83.17882743,3095.07
Wheat,Durum,Madhya Pradesh,Rabi,Silt,123.0593383,30.73962799,41.86159186,14.578832,41.60000788,6.386169106,71.26241042,4451.71
Potato,Red,Madhya Pradesh,Zaid,Silt,90.90076886,53.74924904,33.97220036,15.23243369,91.77466388,5.956649013,313.227675,27946.74
Potato,Yukon Gold,Madhya Pradesh,Rabi,Silt,30.40229026,35.51284328,88.74425206,15.88951519,86.29778923,7.140212527,376.24215,30191.64
Rice,Jasmine,Tamil Nadu,Kharif,Silt,115.7752335,67.89515402,58.48819805,40.81460297,79.71901543,6.651494097,179.746849,6804.47
Potato,Yukon Gold,Punjab,Rabi,Saline,99.20652915,85.30027224,27.20583309,22.03195015,40.92019295,7.990312315,202.2562503,26472.2
Rice,Basmati,West Bengal,Kharif,Sandy,77.41817421,79.59545408,14.20642324,13.11180582,99.24782871,6.637013491,268.1795282,5448.25
Rice,Basmati,Andhra Pradesh,Kharif,Peaty,100.2424725,84.22151754,85.51146333,36.9763521,42.51935442,5.214297419,240.5844088,5865.12
Sugarcane,Co 0238,Maharashtra,Kharif,Loamy,68.81203648,25.16955008,73.7664041,21.02282926,44.92216012,5.030109094,263.8729244,101762.4
Potato,Red,Madhya Pradesh,Zaid,Loamy,93.30846117,16.0613371,15.65433991,32.06963234,43.93036713,6.688698504,145.7770659,23837.65
Sugarcane,Co 0238,Maharashtra,Rabi,Peaty,111.1047479,81.99118675,89.54081646,39.67247421,71.78271443,7.864683615,122.9857628,88804.54
Wheat,Hard Red,Haryana,Rabi,Clay,108.0009041,76.01907512,18.98055849,20.08557158,84.07255326,6.850158679,193.5951667,6137.59
Maize,Flint,Uttar Pradesh,Kharif,Silt,8.160892217,27.24406035,91.76815109,27.00282377,33.34363982,6.426344713,312.6450506,7552.1
Rice,Arborio,Tamil Nadu,Kharif,Silt,107.9378508,74.23260121,29.87174335,43.1660875,32.20968369,7.440696574,90.39136381,5847.06
Sugarcane,Co 86032,Maharashtra,Kharif,Peaty,111.1805637,28.00603916,57.76747734,16.11289645,56.25837923,7.814738766,215.3523957,78682.95
Rice,Basmati,Uttar Pradesh,Kharif,Clay,33.539723,46.38531321,46.30581906,44.82387266,73.3277194,6.504290493,163.6228279,5030.13
Wheat,Hard Red,Madhya Pradesh,Rabi,Loamy,120.7475575,49.23124241,25.95696815,38.86787949,99.08372963,5.683461163,175.6323088,5626.2
Maize,Dent,Madhya Pradesh,Kharif,Peaty,24.27215981,74.86435707,37.8062461,43.61731012,42.54310662,7.069831252,272.2028404,6426.53
Tomato,Roma,Karnataka,Kharif,Sandy,103.8918655,30.72654574,82.82930504,11.32432632,65.15924129,5.227898754,241.8586167,35498.43
Tomato,Cherry,Tamil Nadu,Kharif,Saline,92.26922285,21.38072813,83.51132312,43.21292242,81.65465098,8.412743128,83.39889774,22020.73
Wheat,Soft Red,Madhya Pradesh,Rabi,Saline,21.5404088,78.21739181,19.80839873,43.00137382,74.89303207,5.343009544,318.0265462,3299.69
Sugarcane,Co 86032,Uttar Pradesh,Rabi,Clay,73.03098536,48.08021959,52.22950138,42.47680441,59.47610598,4.851515243,371.506565,94052.89
Maize,Dent,Maharashtra,Kharif,Sandy,82.55721147,81.27461827,61.36594929,30.9348195,91.75302378,8.126937693,180.6404739,7229.49
Maize,Flint,Maharashtra,Zaid,Saline,16.43464933,15.5055732,93.0290699,17.98220803,39.8156908,6.846512992,57.73818096,3448.96
Tomato,Cherry,Karnataka,Kharif,Saline,149.7032303,72.86132407,84.20259781,41.25697943,42.96535731,5.880075594,187.6734259,29420.01
Potato,Russet,Haryana,Rabi,Clay,78.23078503,13.43540252,40.31367049,22.45818546,44.61702708,6.303894832,82.46838662,24591.1
Sugarcane,Co 0238,Maharashtra,Kharif,Loamy,111.6365141,61.05856265,72.87831643,26.19300148,97.91224305,7.516893086,332.0726061,125207.11
Maize,Sweet,Karnataka,Zaid,Loamy,68.30588416,79.00419784,83.60882608,21.47243995,33.37777522,8.020688126,81.36088406,6197.98
Potato,Red,Madhya Pradesh,Rabi,Clay,60.85423832,20.52144107,95.77408392,31.68740975,51.38296489,5.355391727,398.6922298,27622.21
Wheat,Hard Red,Madhya Pradesh,Rabi,Clay,104.4993417,15.12806556,44.56531971,36.34817444,69.46753131,6.514971386,187.2033838,5218.22
Sugarcane,Co 86032,Karnataka,Kharif,Clay,39.69453406,72.63135599,77.22101384,41.43310607,94.35308239,5.145697638,194.0667855,78830.66
Maize,Sweet,Maharashtra,Kharif,Sandy,103.3939784,61.83205071,70.01777653,36.99937177,80.60400615,6.890496904,48.8866291,5629.71
Maize,Dent,Karnataka,Rabi,Sandy,119.0183648,59.25719672,21.53851516,29.64612248,46.92351453,8.39455592,249.0055083,6539.49
Tomato,Roma,Madhya Pradesh,Zaid,Loamy,104.7245375,67.59080071,80.52902468,26.45997573,69.34971436,7.15419125,248.2393705,43354.43
Wheat,Durum,Rajasthan,Rabi,Peaty,32.25480661,76.61114381,38.18206281,26.83456366,34.81722388,5.42505019,199.3814226,3557.22
Potato,Yukon Gold,Uttar Pradesh,Zaid,Peaty,146.7126355,37.33068825,59.06890544,23.17290116,55.89328642,4.69035628,28.00160742,21739.43
Potato,Red,Uttar Pradesh,Rabi,Loamy,39.7118428,55.18844027,64.23083432,14.39589966,58.10742954,5.903971173,49.37856625,25215.67
Maize,Sweet,Karnataka,Zaid,Saline,18.32411674,34.70415913,90.92820678,13.29254181,35.20675102,7.045583136,274.1717853,4346.54
Tomato,Cherry,Andhra Pradesh,Zaid,Silt,62.5312884,63.3483737,52.55381213,10.03952825,42.27117721,6.702300178,204.2814569,32030.65
Sugarcane,Co 86032,Karnataka,Kharif,Sandy,139.0428281,46.11845291,97.6320983,34.35073229,73.88828088,5.031897841,236.8123097,87219.53
Maize,Sweet,Rajasthan,Rabi,Sandy,147.4077058,56.27214147,89.838934,21.08345459,62.87399659,6.216333269,294.1640901,6813.73
Maize,Dent,Rajasthan,Kharif,Sandy,105.9487084,60.40357383,51.26718326,11.46540731,53.05762442,6.621455502,313.8002982,7407.67
Rice,Basmati,West Bengal,Zaid,Sandy,118.2192966,23.96495465,20.91040162,37.33977934,66.35508663,6.392611616,189.2239507,4330.72
Wheat,Soft Red,Uttar Pradesh,Rabi,Sandy,84.74472767,84.03035118,91.52601791,36.89246275,98.32459693,5.134442207,186.9608826,5093.34
Maize,Sweet,Rajasthan,Kharif,Peaty,144.9110954,45.22770382,49.84084272,43.21305697,74.54482351,5.893458276,289.8889424,6254.66
Rice,Jasmine,West Bengal,Kharif,Peaty,117.7674172,9.003770889,33.55220834,18.03461005,52.5633151,7.838562351,307.5437938,5410.49
Rice,Arborio,Punjab,Kharif,Peaty,111.1735672,22.05982048,28.0639669,24.54865825,56.70903552,8.396164311,52.09589529,4853.93
Rice,Jasmine,Tamil Nadu,Kharif,Sandy,48.21287349,30.74963382,46.54355,34.74549876,50.04428265,6.151881413,97.45237023,4221.96
Maize,Dent,Madhya Pradesh,Rabi,Peaty,59.2177023,27.89678541,73.412845,26.56200217,56.29583447,5.799951598,299.6171378,7178.81
Wheat,Soft Red,Haryana,Rabi,Saline,63.09358677,38.49463892,35.15416061,19.79646155,67.94349493,6.518548617,117.3213422,3812.91
Potato,Yukon Gold,Uttar Pradesh,Zaid,Loamy,64.00510427,40.11593223,94.06409121,40.73236561,75.0519124,7.108150431,139.5367057,30653.03
Potato,Russet,Madhya Pradesh,Rabi,Clay,141.007056,41.7010666,18.0066055,26.43640978,95.04720242,5.934608556,43.23217001,21932.47
Sugarcane,Co 0238,Uttar Pradesh,Kharif,Sandy,64.96357699,48.35057131,80.90621435,40.34527961,82.62216501,5.056548455,62.50986251,73318.25
Wheat,Hard Red,Madhya Pradesh,Rabi,Sandy,37.34599003,31.66756082,24.90917185,35.99179728,93.20336129,5.163165006,103.5319697,3258.71
Tomato,Beefsteak,Karnataka,Zaid,Loamy,5.143714107,67.0176077,15.6987497,11.22501784,42.24230213,4.770355196,93.70879886,23321.03
Rice,Jasmine,West Bengal,Zaid,Peaty,25.47253593,40.92051518,55.4021654,11.33518084,77.0850909,8.002383303,90.31762441,3536.76
Wheat,Hard Red,Rajasthan,Rabi,Clay,41.17487142,38.23054746,64.07307499,37.19348792,96.1089775,6.383981951,41.97637967,3857.42
Sugarcane,Co 0238,Tamil Nadu,Kharif,Clay,95.50253986,5.884138862,53.64062316,21.74413987,36.24148626,4.721523981,220.5473337,94300.44
Tomato,Roma,Tamil Nadu,Zaid,Loamy,12.01551199,9.326616223,84.10561758,11.91651147,45.99092492,8.02416752,286.3208509,29832.34
Rice,Basmati,Punjab,Kharif,Peaty,149.608051,71.00262699,61.05440781,11.48554501,88.67786604,8.447720494,233.046781,5907.89
Sugarcane,Co 99004,Tamil Nadu,Kharif,Silt,135.3974367,54.21379036,56.81307489,21.98006968,88.83576876,4.703868689,124.2440878,97450.9
Maize,Sweet,Karnataka,Zaid,Sandy,71.94284476,28.3940723,10.21494937,13.72181797,44.90114165,7.665794074,372.2105226,4634.03
Potato,Yukon Gold,Punjab,Rabi,Clay,77.4576166,55.06350364,24.4634241,43.37870038,67.77429772,6.845023032,325.4298101,36095.62
Maize,Flint,Maharashtra,Kharif,Peaty,11.52362868,73.06390231,96.43322793,25.88722487,33.7311562,7.804183338,243.3167411,6145
Maize,Dent,Rajasthan,Zaid,Sandy,7.020361129,18.82104409,27.02223689,19.78295494,86.66380069,7.176754676,197.0073001,4260.85
Tomato,Roma,Andhra Pradesh,Rabi,Loamy,15.54061989,50.26787129,36.38139411,25.48843547,38.65480542,5.772716715,121.1965745,29447.15
Rice,Jasmine,Tamil Nadu,Kharif,Peaty,104.35542,74.28043398,78.57455092,20.42270356,77.52687813,8.39341912,33.06927116,4981.27
Rice,Jasmine,Uttar Pradesh,Kharif,Silt,50.37404787,64.30167715,49.43049524,25.74712565,96.4411505,4.510578318,122.9044568,5225.1
Sugarcane,Co 86032,Tamil Nadu,Rabi,Saline,84.32455876,34.21126268,70.98971148,32.61518173,49.28795208,5.745661861,149.3906878,62617.59
Rice,Jasmine,West Bengal,Kharif,Loamy,35.93985485,11.46163599,91.34216771,22.13659506,76.87819526,5.141213454,210.5893361,6054.44
Tomato,Beefsteak,Karnataka,Rabi,Peaty,55.45481373,16.82065392,79.08359567,32.72895641,62.89660856,8.238862151,250.7283437,32140.47
Maize,Flint,Madhya Pradesh,Kharif,Saline,54.04524389,15.39285425,83.26778125,34.85966081,33.61337612,5.119317514,153.3931603,4574.64
Wheat,Hard Red,Madhya Pradesh,Rabi,Clay,60.51820366,44.50842857,41.4829403,11.58879701,74.33329055,5.778058056,354.5887793,5219.9
Tomato,Roma,Madhya Pradesh,Kharif,Sandy,56.50523568,86.50324098,72.43202221,11.68985897,49.98170866,6.059646326,379.9403267,37143.49
Maize,Sweet,Rajasthan,Rabi,Clay,34.18402835,64.07863303,80.43910712,14.9220454,61.91015874,5.98030143,185.5000253,5492.3
Sugarcane,Co 0238,Uttar Pradesh,Rabi,Loamy,69.17691677,22.79327861,53.01941885,12.72505284,56.86506269,8.378315422,76.24677015,82654.24
Maize,Dent,Uttar Pradesh,Zaid,Saline,116.5529939,37.50193997,40.0229857,42.77913705,57.88609492,7.892052507,365.7389857,5983.86
Rice,Arborio,Tamil Nadu,Zaid,Silt,146.0146992,51.27682729,81.61588754,16.84531694,73.00979061,4.517514513,267.2377353,6402.21
Rice,Jasmine,Andhra Pradesh,Zaid,Sandy,119.6745529,48.17506265,14.89264646,44.05560674,75.42165883,7.266611461,132.5184861,3963.98
Wheat,Soft Red,Rajasthan,Rabi,Clay,26.4427772,41.06899424,61.28503211,41.54943915,45.94387429,7.076783934,23.14899306,3339.95
Maize,Sweet,Maharashtra,Kharif,Sandy,79.07776387,83.6190442,92.42995443,30.52855092,89.4578873,8.015225009,287.4816657,6970.09
Sugarcane,Co 86032,Tamil Nadu,Kharif,Clay,67.39367058,62.70584869,64.28286837,43.26670753,54.86578882,4.714298237,40.64023412,71626.4
Rice,Jasmine,Tamil Nadu,Kharif,Silt,49.23150082,82.07062703,44.51436207,22.19464554,77.26450896,6.044336323,52.36338061,5288.04
Rice,Arborio,Andhra Pradesh,Kharif,Sandy,149.8695869,34.65260277,40.81486668,10.0593915,35.14617618,7.580807243,167.5369431,5094.65
Rice,Basmati,Tamil Nadu,Kharif,Loamy,120.1560095,19.47871871,12.95240358,17.70125238,74.63573899,5.442091946,344.1224896,6086.04
Rice,Arborio,Punjab,Kharif,Clay,127.6267271,24.7211928,56.37464303,44.06529151,64.70378933,5.902144426,138.5065208,6505.63
Maize,Flint,Rajasthan,Kharif,Silt,135.9651898,85.11949607,10.19384711,32.74839046,76.01412158,6.424303606,150.3655938,7191.63
Rice,Arborio,Andhra Pradesh,Kharif,Saline,111.5435031,56.78651174,81.76321299,22.70404048,78.71173708,6.414982359,254.8563875,5896.35
Potato,Russet,West Bengal,Rabi,Sandy,102.5378661,11.97905732,43.12213095,17.20226675,71.25881354,7.717938976,46.19350486,21009.56
Maize,Sweet,Madhya Pradesh,Kharif,Silt,6.070554952,8.228536011,19.51400432,40.98713318,70.75972076,7.354237134,56.36676254,4296.33
Sugarcane,Co 99004,Andhra Pradesh,Kharif,Peaty,127.4600063,62.02593894,66.34111662,31.08067663,64.20844967,6.861764765,57.71922482,87959.57
Sugarcane,Co 86032,Uttar Pradesh,Kharif,Peaty,38.87833781,82.98578106,65.95999738,25.29900047,66.99501972,5.21101698,398.0168604,94783.09
Maize,Dent,Maharashtra,Kharif,Silt,7.17397951,37.29895162,61.2708103,43.98416509,89.4474302,5.307179033,290.0946068,6981.09
Potato,Yukon Gold,Madhya Pradesh,Rabi,Sandy,50.62036602,58.42991277,77.971364,22.46039305,47.15257545,5.678868101,171.9406719,23962.5
Wheat,Hard Red,Madhya Pradesh,Rabi,Sandy,89.49794418,58.66649659,79.70792474,39.02417119,66.44424536,8.377958535,264.4280898,5209.92
Potato,Yukon Gold,Madhya Pradesh,Rabi,Peaty,19.35862891,78.64721687,70.11620925,30.56189831,31.55319492,7.397855745,201.0053765,24720.01
Wheat,Hard Red,Madhya Pradesh,Rabi,Sandy,89.52730714,35.00835287,99.9394101,19.64696042,73.79166129,4.820141866,312.2701693,5441.21
Tomato,Roma,Tamil Nadu,Kharif,Silt,108.4890726,13.90490398,54.34961947,38.32170347,52.0694552,7.256604808,344.4972378,39538.75
Potato,Russet,Punjab,Rabi,Silt,5.953296918,68.67882427,27.86966064,19.949194,66.66635259,5.415329738,302.0058335,28644.66
Maize,Dent,Madhya Pradesh,Rabi,Saline,102.5890903,74.1505644,40.07964065,22.96279951,99.29610076,4.918072821,240.2750486,5787.52
Rice,Jasmine,Andhra Pradesh,Kharif,Clay,146.1998431,57.39601655,14.09799412,39.0882342,61.33838462,6.528397457,52.65281316,5202.75
Potato,Red,Uttar Pradesh,Zaid,Silt,20.81072204,35.07356401,17.58251168,26.73268598,52.51025791,6.081848395,186.8948455,22048.9
Sugarcane,Co 0238,Uttar Pradesh,Kharif,Sandy,126.4714229,75.50447215,76.34293203,44.32773938,49.99322173,6.353796337,236.524676,106112.49
Wheat,Hard Red,Punjab,Rabi,Silt,116.0719582,36.45076672,50.57998414,23.79592832,32.52864525,6.732529387,27.64940962,5420.95
Maize,Sweet,Karnataka,Rabi,Peaty,86.54317283,88.5163778,52.42113103,32.37722982,31.16881696,4.855276302,262.0913238,6591.14
Maize,Dent,Rajasthan,Kharif,Loamy,133.3683775,63.64142542,88.55461839,20.24487946,92.03226847,7.195281179,312.5396032,9788.32
Potato,Yukon Gold,Uttar Pradesh,Rabi,Sandy,134.753746,42.62126137,63.7814757,25.86095692,43.54552255,6.522619745,195.7473253,29913.38
Rice,Arborio,Andhra Pradesh,Kharif,Loamy,52.65309948,79.70329236,57.8125916,15.95826442,93.64523387,7.392139932,209.9435645,7528.18
Wheat,Hard Red,Rajasthan,Rabi,Peaty,77.97529052,29.315827,59.37264081,14.72167562,89.13146069,7.594291958,142.497042,4111.45
Sugarcane,Co 99004,Uttar Pradesh,Rabi,Silt,84.37990559,39.83189706,15.83773778,32.36867471,81.40636877,8.33761997,261.7248625,92639.32
Maize,Flint,Rajasthan,Kharif,Clay,106.8232616,45.55340669,23.33255702,36.01183843,99.23151959,7.096887499,208.2018517,6426.03
Maize,Sweet,Rajasthan,Rabi,Peaty,127.2006744,67.65551817,80.21113477,21.57334875,33.42463919,5.207879791,92.61320016,5190.98
Wheat,Durum,Punjab,Rabi,Peaty,69.59895551,50.58346617,39.93256984,22.94975332,38.78940411,4.984297834,352.7950627,5267.9
Tomato,Cherry,Madhya Pradesh,Kharif,Silt,69.61689667,86.28018573,86.14618116,43.23450997,85.67939416,8.309801126,196.5119564,35887.25
Sugarcane,Co 99004,Uttar Pradesh,Kharif,Loamy,99.8977785,80.30415904,77.10048197,24.0727973,53.69156981,5.008333099,169.1008295,121175.61
Potato,Yukon Gold,Punjab,Zaid,Silt,113.6389163,60.2787776,80.55774683,22.56288747,94.81436773,5.22988574,145.8296747,34691.68
Maize,Dent,Madhya Pradesh,Kharif,Clay,62.93006754,51.10394768,97.87775353,18.47036198,38.34726512,8.294330884,67.74914134,6570.22
Potato,Red,Madhya Pradesh,Rabi,Sandy,89.98089674,81.13850856,63.23298449,38.40448471,60.40252725,7.000400741,137.4621039,25645.17
Tomato,Roma,Maharashtra,Rabi,Peaty,69.82641154,56.67013821,63.79932301,29.84200858,77.56062425,4.593996947,368.1063988,34965.5
Sugarcane,Co 0238,Uttar Pradesh,Rabi,Peaty,105.9339129,25.09067248,48.01294026,14.76388855,47.12830546,4.80971839,336.0749116,88485.19
Potato,Yukon Gold,Madhya Pradesh,Rabi,Peaty,63.35312387,56.45248982,55.96894623,30.46413009,40.6088069,5.062738739,96.76841661,22571.77
Potato,Yukon Gold,Uttar Pradesh,Rabi,Silt,146.6164411,53.95180283,22.92912021,42.30791352,92.26981348,6.797950313,30.49197028,26705.03
Tomato,Roma,Andhra Pradesh,Rabi,Loamy,31.10875797,73.11523239,73.02143318,11.93026058,57.9284431,5.372354677,311.6582525,39215.13
Tomato,Cherry,Karnataka,Kharif,Silt,68.98680468,6.246218813,81.27741944,23.03350056,63.61864319,8.295000953,348.6896033,35428.59
Potato,Yukon Gold,Madhya Pradesh,Rabi,Peaty,107.0118537,17.32300093,55.56035123,24.65213505,95.56051061,6.056587523,337.1919904,29795.09
Maize,Sweet,Uttar Pradesh,Kharif,Peaty,94.59464538,66.61929969,59.86122965,12.47829007,86.67620204,5.871446258,128.2451305,6760.68
Wheat,Hard Red,Haryana,Rabi,Peaty,112.586514,69.0441411,17.47138316,38.61144809,46.2775132,8.03064209,58.23594127,4644.97
Wheat,Durum,Uttar Pradesh,Rabi,Saline,79.60470371,44.38768141,71.95499417,20.79332358,92.41803092,6.444981776,161.1156849,4010.52
Potato,Russet,Uttar Pradesh,Rabi,Silt,133.1226902,73.17080036,15.00218101,14.99457653,67.48761001,7.654511721,112.0542993,30252.53
Maize,Sweet,Maharashtra,Zaid,Clay,108.7617866,31.80601294,76.32087623,23.95714124,86.4777472,6.655967849,289.8714562,6970.51
Sugarcane,Co 99004,Uttar Pradesh,Rabi,Saline,109.9970652,49.22789787,77.39787042,32.35610911,67.73132352,6.208255951,90.24178906,80621.17
Maize,Flint,Karnataka,Rabi,Clay,121.8758284,78.06858463,37.37897343,14.43204163,87.38996911,6.811922936,128.0775246,7062.24
Rice,Arborio,Punjab,Kharif,Loamy,147.644658,65.51379386,86.12610319,31.22598867,91.25361973,4.823375632,49.50140566,7054.21
Maize,Sweet,Karnataka,Rabi,Saline,34.67156118,75.17678104,37.94923445,37.43418715,90.82469248,5.580324882,194.6257511,4185.58
Tomato,Beefsteak,Karnataka,Rabi,Peaty,72.09974077,5.194219395,27.36868837,20.89949928,50.02187001,6.387443968,145.0790234,28862.46
Maize,Dent,Madhya Pradesh,Kharif,Silt,116.8588634,45.94383449,81.42309066,18.08892274,94.74264637,5.864011157,209.4516735,8681.4
